Full_Path, IsValid,X,Y,ROI,Colour_group,N_in_clust,Area,Radius,Hue,Saturation,Rmean,Gmean,Bmean,Rsd,Gsd,Bsd, Comment
"C:\Users\MSadm\Documents\Sadman\code\misc\oi-opencv\real\real1.jpg", 1,887.5,1091,1,0,1,268,10,38,34,143.384,131.112,109.485,14.0197,6.72199,4.12724, "2021-07-31 [6:22:54 PM]: no comment"
"C:\Users\MSadm\Documents\Sadman\code\misc\oi-opencv\real\real1.jpg", 1,1689.19,1039.7,1,0,1,684,15,42,40,152.33,140.139,113.754,20.3137,11.0762,4.80457, "2021-07-31 [6:22:54 PM]: no comment"
"C:\Users\MSadm\Documents\Sadman\code\misc\oi-opencv\real\real1.jpg", 1,2240.05,1025.15,1,0,1,470,14,24,53,179.664,157.277,141.387,17.7985,10.8486,5.43668, "2021-07-31 [6:22:54 PM]: no comment"
"C:\Users\MSadm\Documents\Sadman\code\misc\oi-opencv\real\real1.jpg", 1,1772.18,1016.38,1,0,1,306,10,40,31,148.34,138.418,118.01,14.6164,8.52869,4.00162, "2021-07-31 [6:22:54 PM]: no comment"
"C:\Users\MSadm\Documents\Sadman\code\misc\oi-opencv\real\real1.jpg", 1,1346.5,984,1,0,1,62,5,38,44,154.516,139.79,113.065,7.8574,4.52016,4.29648, "2021-07-31 [6:22:54 PM]: no comment"
"C:\Users\MSadm\Documents\Sadman\code\misc\oi-opencv\real\real1.jpg", 1,1100.75,974.712,1,0,1,801,16,44,44,150.943,138.654,108.132,19.7951,11.2715,4.30134, "2021-07-31 [6:22:54 PM]: no comment"
"C:\Users\MSadm\Documents\Sadman\code\misc\oi-opencv\real\real1.jpg", 1,1167.5,961.5,1,0,1,432,12,44,37,145.894,136.361,109.199,14.1428,8.31527,4.18666, "2021-07-31 [6:22:54 PM]: no comment"
"C:\Users\MSadm\Documents\Sadman\code\misc\oi-opencv\real\real1.jpg", 1,2179.5,960,1,0,1,616,15,30,82,196.567,169.336,141.916,9.81366,7.27501,4.73202, "2021-07-31 [6:22:54 PM]: no comment"
"C:\Users\MSadm\Documents\Sadman\code\misc\oi-opencv\real\real1.jpg", 1,2188,928,1,0,1,318,11,24,47,176.607,156.101,141.865,15.4176,8.92948,5.13194, "2021-07-31 [6:22:54 PM]: no comment"
"C:\Users\MSadm\Documents\Sadman\code\misc\oi-opencv\real\real1.jpg", 1,1745.88,911.34,1,0,1,1002,19,38,56,168.861,151.052,120.575,21.4264,12.3652,4.76544, "2021-07-31 [6:22:54 PM]: no comment"
"C:\Users\MSadm\Documents\Sadman\code\misc\oi-opencv\real\real1.jpg", 1,950.528,900.849,1,0,1,953,18,38,53,160.085,142.112,110.072,20.0528,11.3382,3.98791, "2021-07-31 [6:22:54 PM]: no comment"
